    0         0.000000     0.000000          0.0000
    1       988.835876     0.000000          9.8884        4.9442
    2      1977.676270     0.000000         19.7768       14.8326
    3      2966.516602     0.000000         29.6652       24.7210
    4      3955.356934     0.000000         39.5536       34.6094
    5      4944.197266     0.000000         49.4420       44.4978
    6      5933.037598     0.000000         59.3304       54.3862
    7      6921.870117     0.000000         69.2188       64.2746
    8      7909.441406     0.000013         79.1072       74.1630
    9      8890.707031     0.000087         88.9956       84.0514
   10      9860.528320     0.000275         98.8840       93.9398
   11     10807.783203     0.000685        108.7724      103.8282
   12     11722.749023     0.001415        118.6608      113.7166
   13     12595.006836     0.002565        128.5492      123.6050
   14     13419.463867     0.004187        138.4376      133.4934
   15     14192.009766     0.006322        148.3260      143.3818
   16     14922.685547     0.009035        158.3816      153.3538
   17     15638.053711     0.012508        169.0545      163.7180
   18     16329.560547     0.016860        180.3786      174.7166
   19     16990.623047     0.022189        192.3889      186.3837
   20     17613.281250     0.028610        205.1223      198.7556
   21     18191.029297     0.036227        218.6172      211.8697
   22     18716.968750     0.045146        232.9140      225.7656
   23     19184.544922     0.055474        248.0547      240.4844
   24     19587.513672     0.067316        264.0833      256.0690
   25     19919.796875     0.080777        281.0456      272.5644
   26     20175.394531     0.095964        298.9895      290.0175
   27     20348.916016     0.112979        317.9651      308.4774
   28     20434.158203     0.131935        338.0245      327.9948
   29     20426.218750     0.152934        359.2221      348.6233
   30     20319.011719     0.176091        381.6144      370.4182
   31     20107.031250     0.201520        405.2606      393.4375
   32     19785.357422     0.229315        430.2069      417.7338
   33     19348.775391     0.259554        456.4813      443.3441
   34     18798.822266     0.291993        483.8506      470.1659
   35     18141.296875     0.326329        512.0662      497.9584
   36     17385.595703     0.362203        540.8577      526.4620
   37     16544.585938     0.399205        569.9401      555.3989
   38     15633.566406     0.436906        599.0310      584.4855
   39     14665.645508     0.475016        627.9669      613.4989
   40     13653.219727     0.513280        656.6129      642.2899
   41     12608.383789     0.551458        684.8491      670.7310
   42     11543.166992     0.589317        712.5573      698.7032
   43     10471.310547     0.626559        739.5739      726.0656
   44      9405.222656     0.662934        765.7697      752.6718
   45      8356.252930     0.698224        791.0376      778.4036
   46      7335.164551     0.732224        815.2774      803.1575
   47      6353.920898     0.764679        838.3507      826.8141
   48      5422.802734     0.795385        860.1516      849.2512
   49      4550.215820     0.824185        880.6080      870.3798
   50      3743.464355     0.850950        899.6602      890.1340
   51      3010.146973     0.875518        917.2205      908.4403
   52      2356.202637     0.897767        933.2247      925.2226
   53      1784.854614     0.917651        947.6584      940.4416
   54      1297.656128     0.935157        960.5245      954.0914
   55       895.193542     0.950274        971.8169      966.1707
   56       576.314148     0.963007        981.5301      976.6735
   57       336.772369     0.973466        989.7322      985.6311
   58       162.043427     0.982238        996.8732      993.3027
   59        54.208336     0.989153       1002.8013      999.8373
   60         6.575628     0.994204       1007.4431     1005.1222
   61         0.003160     0.997630       1010.8488     1009.1459
   62         0.000000     1.000000       1013.2500     1012.0494
 
    N           a            b              ph[hPa]       pf[hPa]
